node_1,node_2,weight
Finland,Seychelles,8.0
Finland,Singapore,1.0
Finland,United Kingdom,7.0
Finland,United States,2.0
Antigua and Barbuda,France,1.0
Bahamas,France,46.0
Barbados,France,4.0
Bermuda,France,50.0
British Anguilla,France,20.0
British Virgin Islands,France,408.5
Canada,France,1.0
Cayman Islands,France,12.0
Cook Islands,France,3.0
Cyprus,France,8.5
France,Hong Kong,35.0
France,Indonesia,1.0
France,Ireland,8.0
France,Isle of Man,2.0
France,Jersey,1.0
France,Labuan,0.5
France,Latvia,2.0
France,Malaysia,1.0
France,Nevada,2.0
France,Niue,36.0
France,Panama,168.0
France,Russia,35.0
France,Saint Kitts and Nevis,3.0
France,Samoa,7.5
France,Seychelles,33.0
France,Singapore,2.0
France,United Arab Emirates,1.0
France,United Kingdom,38.0
France,United States,10.0
British Virgin Islands,French Guiana,40.0
Cayman Islands,French Guiana,16.0
French Guiana,Guernsey,4.0
British Virgin Islands,French Polynesia,14.0
French Polynesia,Hong Kong,4.0
French Polynesia,Latvia,2.0
French Polynesia,Panama,3.0
French Polynesia,Russia,3.0
French Polynesia,United Kingdom,6.0
French Polynesia,United States,2.0
British Virgin Islands,Gabon,2.0
Gabon,Panama,1.0
Gabon,Russia,2.0
British Anguilla,Georgia,2.0
British Virgin Islands,Georgia,8.0
Cook Islands,Georgia,0.5
Georgia,Ireland,2.0
Georgia,Panama,1.0
Georgia,Russia,1.0
Georgia,United Arab Emirates,1.0
Georgia,United Kingdom,2.0
Bahamas,Germany,2.0
Barbados,Germany,6.0
Belize,Germany,4.0
Bermuda,Germany,8.0
British Anguilla,Germany,2.0
Canada,Germany,8.0
Cayman Islands,Germany,10.0
Germany,Hong Kong,65.0
Germany,Ireland,11.0
Germany,Isle of Man,2.0
Germany,Jersey,3.0
Germany,Latvia,7.0
Germany,Luxembourg,2.0
Germany,Mauritius,1.0
Germany,Niue,4.0
Germany,Panama,273.0
Germany,Russia,32.0
Germany,Saint Kitts and Nevis,7.0
Germany,Samoa,1.5
Germany,Seychelles,23.0
Germany,United Arab Emirates,5.0
Germany,United Kingdom,37.0
Germany,United States,22.0
Bahamas,Ghana,2.0
British Anguilla,Ghana,2.0
British Virgin Islands,Ghana,5.0
Ghana,Hong Kong,1.0
Ghana,Russia,2.0
Ghana,United Kingdom,1.0
Ghana,United States,1.0
Barbados,Gibraltar,16.0
Belize,Gibraltar,4.0
Gibraltar,Hong Kong,22.0
Gibraltar,Ireland,4.0
Gibraltar,Isle of Man,9.0
Gibraltar,Jersey,1.0
Gibraltar,Luxembourg,1.0
Gibraltar,Malta,2.0
Gibraltar,Nevada,4.0
Gibraltar,Niue,56.0
Gibraltar,Panama,396.0
Gibraltar,Russia,11.0
Gibraltar,Samoa,30.0
Gibraltar,Seychelles,128.0
Gibraltar,Singapore,2.5
Gibraltar,Switzerland,1.0
Gibraltar,Thailand,2.0
Gibraltar,Ukraine,1.0
Gibraltar,United Kingdom,10.0
Gibraltar,United States,6.0
Bahamas,Greece,14.0
Bermuda,Greece,10.0
British Virgin Islands,Greece,172.0
Canada,Greece,4.0
Cayman Islands,Greece,2.0
China,Greece,7.0
Cyprus,Greece,3.0
Greece,Hong Kong,10.0
Greece,Ireland,2.0
Greece,Jersey,1.0
Greece,Liberia,2.0
Greece,Malta,1.0
Greece,Panama,273.0
Greece,Russia,13.0
Greece,Seychelles,43.0
Greece,United Arab Emirates,1.0
Greece,United Kingdom,12.0
Greece,United States,1.0
Barbados,Grenada,4.0
British Virgin Islands,Grenada,4.0
Grenada,Panama,1.0
Grenada,Saint Kitts and Nevis,8.0
British Virgin Islands,Guam,2.0
Guam,United States,1.0
Bahamas,Guatemala,78.0
British Anguilla,Guatemala,46.0
British Virgin Islands,Guatemala,370.0
Cayman Islands,Guatemala,16.0
Guatemala,Niue,280.0
Guatemala,Panama,1602.0
Guatemala,Saint Kitts and Nevis,8.0
Guatemala,Samoa,32.0
Guatemala,Seychelles,60.0
Bahamas,Guernsey,3008.0
Barbados,Guernsey,26.0
Bermuda,Guernsey,6.0
British Anguilla,Guernsey,54.0
British Virgin Islands,Guernsey,9562.0
Canada,Guernsey,5.0
China,Guernsey,9.0
Cook Islands,Guernsey,4.0
Cyprus,Guernsey,8.0
Czech Republic,Guernsey,2.0
Guernsey,Hong Kong,25.0
Guernsey,Ireland,8.0
Guernsey,Isle of Man,52.0
Guernsey,Jersey,16.0
Guernsey,Luxembourg,1.0
Guernsey,Niue,604.0
Guernsey,Panama,1423.0
Guernsey,Russia,24.0
Guernsey,Saint Kitts and Nevis,3.0
Guernsey,Samoa,38.0
Guernsey,Seychelles,106.0
Guernsey,Sweden,2.0
Guernsey,Turks and Caicos Islands,2.0
Guernsey,United Arab Emirates,3.0
Guernsey,United Kingdom,38.0
Guernsey,United States,15.0
Guernsey,Uruguay,2.0
Guinea,Switzerland,1.0
Guinea,United Kingdom,1.0
Barbados,Guyana,4.0
British Virgin Islands,Guyana,1.0
Cyprus,Guyana,1.0
British Virgin Islands,Haiti,6.0
Haiti,Nevada,10.0
Bahamas,Honduras,2.0
British Virgin Islands,Honduras,8.0
Cayman Islands,Honduras,2.0
Honduras,Panama,38.0
Croatia,Hong Kong,2.0
Georgia,Hong Kong,1.0
Grenada,Hong Kong,1.0
Hong Kong,Ireland,631.0
Hong Kong,Isle of Man,42.0
Hong Kong,Israel,45.0
Hong Kong,Japan,115.0
Hong Kong,Jersey,250.0
Hong Kong,Kuwait,5.0
Hong Kong,Labuan,12.5
Hong Kong,Latvia,253.0
Hong Kong,Luxembourg,167.0
Hong Kong,Malaysia,357.5
Hong Kong,Malta,29.0
Hong Kong,Marshall Islands,4.5
Hong Kong,Mauritius,55.5
Hong Kong,Netherlands,78.0
Hong Kong,Nevada,86.0
Hong Kong,Niue,2111.0
Hong Kong,Panama,2541.5
Hong Kong,Portugal,6.0
Hong Kong,Russia,2524.5
Hong Kong,Saint Kitts and Nevis,265.0
Hong Kong,Samoa,6253.0
Hong Kong,Serbia,6.0
Hong Kong,Seychelles,7830.5
Hong Kong,Singapore,1171.5
Hong Kong,South Africa,18.0
Hong Kong,South Korea,47.0
Hong Kong,Sweden,46.0
Hong Kong,Switzerland,192.0
Hong Kong,Taiwan,3725.0
Hong Kong,Thailand,164.0
Hong Kong,Turks and Caicos Islands,12.0
Hong Kong,US Virgin Islands,135.0
Hong Kong,Ukraine,64.0
Hong Kong,United Arab Emirates,290.0
Hong Kong,United Kingdom,3243.5
Hong Kong,United States,1804.5
Hong Kong,Vanuatu,12.5
Bahamas,Hungary,8.0
Barbados,Hungary,6.0
British Virgin Islands,Hungary,58.0
Canada,Hungary,1.0
Curaçao,Hungary,1.0
Cyprus,Hungary,1.0
Hong Kong,Hungary,3.0
Hungary,Luxembourg,1.0
Hungary,Nevada,2.0
Hungary,Niue,50.0
Hungary,Panama,14.0
Hungary,Russia,2.0
Hungary,Samoa,2.0
Hungary,Seychelles,54.0
Hungary,Ukraine,2.0
Hungary,United Kingdom,3.0
Hungary,United States,3.0
Bermuda,Iceland,4.0
British Virgin Islands,Iceland,29.0
Iceland,Panama,2.0
Iceland,Switzerland,1.0
Iceland,United Kingdom,1.0
Barbados,India,2.0
Belize,India,1.0
Bermuda,India,20.0
British Virgin Islands,India,528.5
Canada,India,16.0
Cayman Islands,India,4.0
China,India,16.0
Cyprus,India,30.0
Czech Republic,India,2.0
Hong Kong,India,135.0
India,Ireland,25.0
India,Isle of Man,16.0
India,Jersey,4.0
India,Kuwait,1.0
India,Latvia,12.0
India,Luxembourg,6.0
India,Malta,1.0
India,Niue,2.0
India,Panama,58.0
India,Russia,121.0
India,Saint Kitts and Nevis,7.0
India,Samoa,3.0
India,Serbia,1.0
India,Seychelles,26.0
India,Singapore,6.0
India,South Africa,1.0
India,Sweden,1.0
India,Switzerland,1.0
India,Ukraine,2.0
India,United Arab Emirates,8.0
India,United Kingdom,175.0
India,United States,50.0
Antigua and Barbuda,Indonesia,8.0
Austria,Indonesia,2.0
Bahamas,Indonesia,2.5
Belize,Indonesia,4.0
Bermuda,Indonesia,10.0
British Virgin Islands,Indonesia,2295.0
Cayman Islands,Indonesia,20.0
China,Indonesia,69.0
Croatia,Indonesia,1.0
Curaçao,Indonesia,2.0
Cyprus,Indonesia,142.0
Czech Republic,Indonesia,5.0
Gibraltar,Indonesia,3.0
Hong Kong,Indonesia,656.5
Indonesia,Ireland,121.0
Indonesia,Israel,1.0
Indonesia,Jersey,12.0
Indonesia,Latvia,50.0
Indonesia,Luxembourg,20.0
Indonesia,Malta,3.0
Indonesia,Mauritius,2.0
Indonesia,Netherlands,6.0
Indonesia,Panama,238.0
Indonesia,Russia,444.0
Indonesia,Saint Kitts and Nevis,42.0
Indonesia,Samoa,23.5
Indonesia,Seychelles,82.0
Indonesia,Singapore,42.5
Indonesia,South Africa,1.0
Indonesia,Sweden,3.0
Indonesia,Switzerland,7.0
Indonesia,Taiwan,1.0
Indonesia,Turks and Caicos Islands,1.0
Indonesia,Ukraine,4.0
Indonesia,United Arab Emirates,32.0
Indonesia,United Kingdom,759.0
Indonesia,United States,202.0
British Virgin Islands,Iran,3.0
Canada,Iran,1.0
Iran,Ireland,1.0
Iran,Panama,8.0
Iran,Russia,1.0
Iran,United Kingdom,1.0
Iran,United States,1.0
Barbados,Ireland,26.0
Ireland,Isle of Man,64.0
Ireland,Jersey,10.0
Ireland,Niue,62.0
Ireland,Panama,120.0
Ireland,Russia,117.0
Ireland,Saint Kitts and Nevis,3.0
Ireland,Samoa,49.0
Ireland,Seychelles,42.0
Ireland,Singapore,232.0
Ireland,United Arab Emirates,23.0
Ireland,United Kingdom,54.0
Bahamas,Isle of Man,1770.0
Barbados,Isle of Man,52.0
Bermuda,Isle of Man,10.0
British Anguilla,Isle of Man,70.0
Isle of Man,Isle of Man,14.0
Isle of Man,Jersey,56.0
Isle of Man,Malta,4.0
Isle of Man,Nevada,14.0
Isle of Man,Niue,542.0
Isle of Man,Panama,1002.0
Isle of Man,Russia,6.0
Isle of Man,Samoa,140.0
Isle of Man,Seychelles,160.0
Isle of Man,United Arab Emirates,6.0
Isle of Man,United Kingdom,216.0
Isle of Man,United States,56.0
Isle of Man,Uruguay,2.0
Bahamas,Israel,32.0
Barbados,Israel,2.0
Belize,Israel,24.0
Bermuda,Israel,2.0
British Anguilla,Israel,300.0
Canada,Israel,2.0
Cayman Islands,Israel,8.0
Cyprus,Israel,10.0
Ireland,Israel,7.0
Isle of Man,Israel,4.0
Israel,Jersey,3.0
Israel,Latvia,1.0
Israel,Malta,8.0
Israel,Mauritius,1.0
Israel,Netherlands,1.0
Israel,Niue,22.0
Israel,Panama,273.0
Israel,Russia,24.0
Israel,Saint Kitts and Nevis,1.0
Israel,Samoa,94.0
Israel,Seychelles,246.0
Israel,Singapore,3.0
Israel,Switzerland,1.0
Israel,United Arab Emirates,2.0
Israel,United Kingdom,28.0
Israel,United States,12.0
Antigua and Barbuda,Italy,1.0
Bahamas,Italy,6.0
Belize,Italy,1.0
British Anguilla,Italy,408.0
British Virgin Islands,Italy,142.0
Canada,Italy,2.0
Cayman Islands,Italy,4.0
China,Italy,2.0
Cook Islands,Italy,0.5
Croatia,Italy,1.0
Cyprus,Italy,34.0
Hong Kong,Italy,28.0
Ireland,Italy,4.0
Isle of Man,Italy,4.0
Italy,Jersey,2.0
Italy,Latvia,3.0
Italy,Nevada,14.0
Italy,Niue,44.0
Italy,Panama,89.0
Italy,Russia,15.0
Italy,Saint Kitts and Nevis,2.0
Italy,Samoa,6.0
Italy,Seychelles,47.0
Italy,South Africa,1.0
Italy,Ukraine,1.0
Italy,United Arab Emirates,2.0
Italy,United Kingdom,16.0
Italy,United States,8.0
Bahamas,Jamaica,2.0
Barbados,Jamaica,24.0
British Virgin Islands,Jamaica,12.0
Cayman Islands,Jamaica,10.0
Hong Kong,Jamaica,2.0
Jamaica,Panama,1.0
Jamaica,United Kingdom,1.0
Jamaica,United States,1.0
Antigua and Barbuda,Japan,1.0
Belize,Japan,1.0
Bermuda,Japan,16.0
British Virgin Islands,Japan,404.0
Canada,Japan,17.0
Cayman Islands,Japan,32.0
China,Japan,21.0
Cook Islands,Japan,2.0
Cyprus,Japan,27.0
Gibraltar,Japan,1.0
Ireland,Japan,22.0
Japan,Latvia,13.0
Japan,Luxembourg,1.0
Japan,Mauritius,1.0
Japan,Niue,4.0
Japan,Panama,50.0
Japan,Russia,70.0
Japan,Saint Kitts and Nevis,9.0
Japan,Samoa,1.5
Japan,Seychelles,20.0
Japan,Singapore,3.0
Japan,Ukraine,1.0
Japan,United Arab Emirates,9.0
Japan,United Kingdom,121.0
Japan,United States,32.0
Bahamas,Jersey,2488.0
Barbados,Jersey,88.0
Belize,Jersey,2.0
British Anguilla,Jersey,4.0
Jersey,Latvia,2.0
Jersey,Luxembourg,1.0
Jersey,Malta,8.0
Jersey,Mauritius,9.0
Jersey,Nevada,6.0
Jersey,Niue,688.0
Jersey,Panama,4275.0
Jersey,Russia,48.0
Jersey,Saint Kitts and Nevis,6.0
Jersey,Samoa,38.0
Jersey,Seychelles,43.0
Jersey,Singapore,20.0
Jersey,South Africa,4.0
Jersey,United Arab Emirates,4.0
Jersey,United Kingdom,75.0
Jersey,United States,40.0
Jersey,Wyoming,2.0
Bahamas,Jordan,28.0
Bermuda,Jordan,2.0
British Virgin Islands,Jordan,2294.0
Canada,Jordan,1.0
China,Jordan,1.0
Gibraltar,Jordan,1.0
Hong Kong,Jordan,1.0
Jordan,Panama,788.0
Jordan,Seychelles,2.0
Jordan,United States,1.0
Antigua and Barbuda,Kazakhstan,1.0
Bermuda,Kazakhstan,2.0
British Virgin Islands,Kazakhstan,78.0
Canada,Kazakhstan,2.0
Cayman Islands,Kazakhstan,1.5
Cyprus,Kazakhstan,3.0
Germany,Kazakhstan,1.0
Hong Kong,Kazakhstan,15.0
Ireland,Kazakhstan,7.0
Kazakhstan,Labuan,0.5
Kazakhstan,Luxembourg,2.0
Kazakhstan,Malaysia,1.0
Kazakhstan,Netherlands,1.0
Kazakhstan,Panama,9.0
Kazakhstan,Russia,14.0
Kazakhstan,Switzerland,1.0
Kazakhstan,Ukraine,1.0
Kazakhstan,United Arab Emirates,2.0
Kazakhstan,United Kingdom,14.0
Kazakhstan,United States,3.0
Bahamas,Kenya,2.0
British Anguilla,Kenya,4.0
British Virgin Islands,Kenya,40.0
Cayman Islands,Kenya,2.0
China,Kenya,4.0
Cyprus,Kenya,1.0
Hong Kong,Kenya,3.0
Isle of Man,Kenya,2.0
Kenya,Latvia,1.0
Kenya,Panama,13.0
Kenya,Russia,2.0
Kenya,Seychelles,2.0
Kenya,United Kingdom,1.0
Bahamas,Kuwait,4.0
Bermuda,Kuwait,2.0
British Virgin Islands,Kuwait,35.0
Canada,Kuwait,1.0
Cayman Islands,Kuwait,8.0
Cyprus,Kuwait,3.0
Ireland,Kuwait,1.0
Kuwait,Luxembourg,1.0
Kuwait,Panama,73.0
Kuwait,Russia,4.0
Kuwait,Seychelles,26.0
Kuwait,United Kingdom,3.0
Kuwait,United States,3.0
British Virgin Islands,Kyrgyzstan,3.0
Hong Kong,Kyrgyzstan,1.0
Ireland,Kyrgyzstan,1.0
Isle of Man,Kyrgyzstan,2.0
Kyrgyzstan,United Kingdom,1.0
Kyrgyzstan,United States,1.0
British Virgin Islands,Laos,1.0
Hong Kong,Laos,1.0
Ireland,Laos,1.0
Belize,Latvia,1.0
Ireland,Latvia,3.0
Latvia,Niue,26.0
Latvia,Panama,34.0
Latvia,Russia,42.0
Latvia,Saint Kitts and Nevis,1.0
Latvia,Seychelles,2.0
Latvia,United Kingdom,20.0
Latvia,United States,72.0
Bahamas,Lebanon,14.0
Bermuda,Lebanon,2.0
British Virgin Islands,Lebanon,435.0
Cayman Islands,Lebanon,2.0
China,Lebanon,1.0
Hong Kong,Lebanon,8.0
Ireland,Lebanon,1.0
Latvia,Lebanon,1.0
Lebanon,Niue,92.0
Lebanon,Panama,244.0
Lebanon,Samoa,24.0
Lebanon,Seychelles,176.0
Lebanon,United Kingdom,3.0
Lebanon,United States,1.0
British Virgin Islands,Lesotho,1.0
Lesotho,Russia,1.0
Lesotho,Seychelles,2.0
Lesotho,Switzerland,1.0
Barbados,Liberia,38.0
British Virgin Islands,Liberia,22.0
China,Liberia,1.0
Cyprus,Liberia,1.0
Hong Kong,Liberia,13.0
Jersey,Liberia,1.0
Liberia,Liechtenstein,72.0
Liberia,Panama,7.0
Liberia,Russia,2.0
Liberia,Switzerland,1.0
Liberia,United Kingdom,7.0
British Virgin Islands,Libya,5.0
Cyprus,Libya,1.0
Libya,Panama,3.0
Libya,Russia,2.0
Libya,United Kingdom,1.0
Bahamas,Liechtenstein,174.0
Barbados,Liechtenstein,10.0
British Anguilla,Liechtenstein,10.0
British Virgin Islands,Liechtenstein,2587.0
Canada,Liechtenstein,2.0
China,Liechtenstein,3.0
Curaçao,Liechtenstein,1.0
Cyprus,Liechtenstein,3.0
Hong Kong,Liechtenstein,38.0
Latvia,Liechtenstein,1.0
Liechtenstein,Niue,98.0
Liechtenstein,Panama,894.0
Liechtenstein,Russia,16.0
Liechtenstein,Saint Kitts and Nevis,1.0
Liechtenstein,Samoa,64.0
Liechtenstein,Seychelles,339.0
Liechtenstein,Singapore,7.0
Liechtenstein,Ukraine,1.0
Liechtenstein,United Arab Emirates,2.0
Liechtenstein,United Kingdom,11.0
Liechtenstein,United States,4.0
Bahamas,Lithuania,4.0
British Anguilla,Lithuania,2.0
British Virgin Islands,Lithuania,13.0
Jersey,Lithuania,1.0
Latvia,Lithuania,1.0
Lithuania,Niue,40.0
Lithuania,Panama,13.0
Lithuania,Russia,1.0
Lithuania,United Kingdom,2.0
Barbados,Luxembourg,22.0
Belize,Luxembourg,16.0
Bermuda,Luxembourg,8.0
British Anguilla,Luxembourg,14.0
Costa Rica,Luxembourg,2.0
Ireland,Luxembourg,3.0
Latvia,Luxembourg,2.0
Luxembourg,Malta,12.0
Luxembourg,Nevada,58.0
Luxembourg,Niue,438.0
Luxembourg,Panama,11169.0
Luxembourg,Samoa,32.0
Luxembourg,Seychelles,2845.0
Luxembourg,United Kingdom,10.0
Luxembourg,United States,22.0
Luxembourg,Uruguay,2.0
Luxembourg,Wyoming,2.0
Belize,Macao,1.0
Bermuda,Macao,4.0
British Virgin Islands,Macao,138.0
Canada,Macao,4.0
China,Macao,5.0
Cook Islands,Macao,0.5
Cyprus,Macao,9.0
Hong Kong,Macao,33.0
Ireland,Macao,9.0
Jersey,Macao,2.0
Latvia,Macao,2.0
Macao,Malta,230.0
Macao,Panama,9.0
Macao,Russia,13.0
Macao,Saint Kitts and Nevis,2.0
Macao,Seychelles,5.0
Macao,United Arab Emirates,3.0
Macao,United Kingdom,19.0
Macao,United States,6.0
British Virgin Islands,Macedonia,3.0
Macedonia,Seychelles,2.0
Macedonia,United Kingdom,1.0
British Virgin Islands,Madagascar,4.0
Canada,Madagascar,1.0
Hong Kong,Madagascar,4.0
Madagascar,Russia,2.0
Madagascar,United Kingdom,1.0
British Virgin Islands,Malawi,11.0
Canada,Malawi,1.0
China,Malawi,5.0
Cyprus,Malawi,1.0
Ireland,Malawi,1.0
Latvia,Malawi,1.0
Malawi,Seychelles,1.0
Antigua and Barbuda,Malaysia,6.0
Austria,Malaysia,3.0
Bahamas,Malaysia,2.0
Barbados,Malaysia,2.0
Belize,Malaysia,2.0
Bermuda,Malaysia,34.0
British Anguilla,Malaysia,2.0
Cayman Islands,Malaysia,3.5
Cook Islands,Malaysia,3.5
Curaçao,Malaysia,6.0
Czech Republic,Malaysia,1.0
Germany,Malaysia,5.0
Gibraltar,Malaysia,1.0
Ireland,Malaysia,74.0
Jersey,Malaysia,6.0
Labuan,Malaysia,845.0
Latvia,Malaysia,32.0
Luxembourg,Malaysia,7.0
Malaysia,Malta,4.0
Malaysia,Mauritius,3.0
Malaysia,Netherlands,3.0
Malaysia,Niue,8.0
Malaysia,Panama,128.0
Malaysia,Russia,294.0
Malaysia,Saint Kitts and Nevis,36.0
Malaysia,Saint Lucia,1.5
Malaysia,Samoa,11.0
Malaysia,Seychelles,45.0
Malaysia,Singapore,35.0
Malaysia,Sweden,3.0
Malaysia,Switzerland,8.0
Malaysia,United Arab Emirates,15.0
Malaysia,United Kingdom,347.0
Malaysia,United States,115.0
British Virgin Islands,Mali,16.0
Barbados,Malta,2.0
Canada,Malta,1.0
Cyprus,Malta,4.0
Ireland,Malta,1.0
Malta,New Zealand,18.0
Malta,Niue,110.0
Malta,Panama,219.0
Malta,Russia,2.0
Malta,Saint Kitts and Nevis,1.0
Malta,Seychelles,62.0
Malta,United Arab Emirates,1.0
Malta,United Kingdom,20.0
Malta,United States,9.0
Barbados,Marshall Islands,2.0
Isle of Man,Marshall Islands,2.0
Marshall Islands,Russia,1.0
Marshall Islands,United Kingdom,3.0
Marshall Islands,United States,3.5
Antigua and Barbuda,Mauritius,2.0
Bahamas,Mauritius,272.0
Barbados,Mauritius,6.0
Bermuda,Mauritius,4.0
Cayman Islands,Mauritius,4.0
Cook Islands,Mauritius,0.5
Ireland,Mauritius,8.0
Isle of Man,Mauritius,2.0
Latvia,Mauritius,5.0
Mauritius,Niue,64.0
Mauritius,Panama,226.0
Mauritius,Russia,16.0
Mauritius,Saint Kitts and Nevis,6.0
Mauritius,Samoa,22.5
Mauritius,Seychelles,33.0
Mauritius,Singapore,17.0
Mauritius,Ukraine,2.0
Mauritius,United Kingdom,30.0
Mauritius,United States,23.0
Bahamas,Mexico,6.0
Barbados,Mexico,6.0
Bermuda,Mexico,2.0
British Virgin Islands,Mexico,63.0
Cayman Islands,Mexico,10.0
China,Mexico,1.0
Hong Kong,Mexico,13.0
Ireland,Mexico,3.0
Latvia,Mexico,1.0
Mexico,Nevada,2.0
Mexico,Panama,83.0
Mexico,Russia,6.0
Mexico,Seychelles,13.0
Mexico,United Kingdom,13.0
Mexico,United States,5.0
British Virgin Islands,Moldova,22.0
Canada,Moldova,1.0
China,Moldova,1.0
Cyprus,Moldova,1.0
Hong Kong,Moldova,7.0
Israel,Moldova,1.0
Moldova,Panama,3.0
Moldova,Russia,2.0
Moldova,United Kingdom,7.0
Bahamas,Monaco,166.0
Belize,Monaco,4.0
Bermuda,Monaco,64.0
British Anguilla,Monaco,8.0
British Virgin Islands,Monaco,2128.0
Canada,Monaco,1.0
Cayman Islands,Monaco,16.0
China,Monaco,2.0
Cyprus,Monaco,2.0
Hong Kong,Monaco,17.0
Ireland,Monaco,4.0
Isle of Man,Monaco,4.0
Latvia,Monaco,1.0
Monaco,Nevada,12.0
Monaco,Niue,98.0
Monaco,Panama,2809.0
Monaco,Russia,17.0
Monaco,Saint Kitts and Nevis,1.0
Monaco,Samoa,40.0
Monaco,Seychelles,1133.0
Monaco,United Kingdom,14.0
Monaco,United States,1.0
British Virgin Islands,Mongolia,11.0
Cyprus,Mongolia,1.0
Hong Kong,Mongolia,3.0
Jersey,Mongolia,1.0
British Virgin Islands,Montenegro,30.0
Hong Kong,Montenegro,2.0
Ireland,Montenegro,1.0
Israel,Montenegro,1.0
Montenegro,Panama,2.0
Montenegro,Russia,1.0
Montenegro,United Kingdom,5.0
Montenegro,United States,1.0
British Virgin Islands,Morocco,43.0
Morocco,Panama,4.0
Morocco,Seychelles,36.0
Morocco,United Kingdom,2.0
Morocco,United States,1.0
British Virgin Islands,Mozambique,2.0
Mozambique,Seychelles,4.0
British Virgin Islands,Myanmar,15.0
China,Myanmar,1.0
Curaçao,Myanmar,1.0
Cyprus,Myanmar,1.0
Hong Kong,Myanmar,3.0
Jersey,Myanmar,1.0
Malta,Myanmar,1.0
Myanmar,Panama,3.0
Myanmar,Russia,2.0
Myanmar,United Kingdom,6.0
Myanmar,United States,1.0
British Virgin Islands,Namibia,2.0
Hong Kong,Namibia,1.0
Namibia,Russia,2.0
Namibia,Seychelles,4.0
British Virgin Islands,Nauru,4.0
Hong Kong,Nauru,3.0
Ireland,Nauru,1.0
Nauru,Panama,2.0
Nauru,United Kingdom,1.0
British Virgin Islands,Nepal,9.0
Canada,Nepal,1.0
Cyprus,Nepal,1.0
Hong Kong,Nepal,4.0
Ireland,Nepal,1.0
Nepal,Panama,1.0
Nepal,Russia,2.0
Nepal,United Kingdom,3.0
Bahamas,Netherlands,56.0
Barbados,Netherlands,36.0
British Anguilla,Netherlands,8.0
Ireland,Netherlands,3.0
Isle of Man,Netherlands,4.0
Jersey,Netherlands,1.0
Latvia,Netherlands,1.0
Netherlands,Netherlands Antilles,2.0
Netherlands,Niue,14.0
Netherlands,Panama,109.0
Netherlands,Russia,22.0
Netherlands,Saint Kitts and Nevis,2.0
Netherlands,Samoa,7.5
Netherlands,Seychelles,18.0
Netherlands,Singapore,14.0
Netherlands,United Arab Emirates,1.0
Netherlands,United Kingdom,22.0
Netherlands,United States,20.0
Bahamas,New Zealand,14.0
Bermuda,New Zealand,36.0
British Virgin Islands,New Zealand,175.5
Canada,New Zealand,3.0
China,New Zealand,9.0
Cook Islands,New Zealand,3.5
Cyprus,New Zealand,7.0
Hong Kong,New Zealand,46.0
Ireland,New Zealand,9.0
Jersey,New Zealand,2.0
Latvia,New Zealand,3.0
Luxembourg,New Zealand,4.0
Netherlands,New Zealand,1.0
Nevada,New Zealand,2.0
New Zealand,Niue,26.0
